,date,season,neutral,playoff,home_team,away_team,home_elo_prob,away_elo_prob,home_carm-elo_prob,away_carm-elo_prob,home_raptor_prob,away_raptor_prob,home_score,away_score,home_ml,away_ml
46,2007-11-06,2008,0,,LAL,NOP,0.6331708109274491,0.3668291890725509,,,,,104.0,118.0,-155,135
47,2007-11-06,2008,0,,HOU,SAS,0.4984505091042876,0.5015494908957123,,,,,89.0,81.0,115,-135
48,2007-11-06,2008,0,,CHI,LAC,0.6736309169428596,0.3263690830571404,,,,,91.0,97.0,-405,335
49,2007-11-06,2008,0,,CHO,PHO,0.4505833083481149,0.5494166916518851,,,,,83.0,115.0,165,-195
50,2007-11-06,2008,0,,MIL,TOR,0.3854123238510341,0.6145876761489659,,,,,112.0,85.0,140,-160
51,2007-11-06,2008,0,,NJN,ATL,0.7604365818695555,0.2395634181304444,,,,,87.0,82.0,-190,160
52,2007-11-06,2008,0,,SAC,SEA,0.6461191229823933,0.3538808770176067,,,,,104.0,98.0,-130,110
53,2007-11-07,2008,0,,POR,NOP,0.4493403985083221,0.5506596014916778,,,,,93.0,90.0,125,-145
54,2007-11-07,2008,0,,PHI,CHO,0.6715882996877097,0.3284117003122903,,,,,94.0,63.0,-195,165
55,2007-11-07,2008,0,,UTA,CLE,0.6543413832081946,0.3456586167918054,,,,,103.0,101.0,-500,400
56,2007-11-07,2008,0,,ATL,PHO,0.3317251336441197,0.6682748663558802,,,,,105.0,96.0,190,-230
57,2007-11-07,2008,0,,IND,LAC,0.5041883043189831,0.4958116956810169,,,,,89.0,104.0,-290,240
58,2007-11-07,2008,0,,SAS,MIA,0.8517891919223036,0.1482108080776963,,,,,88.0,78.0,-1200,800
59,2007-11-07,2008,0,,SEA,MEM,0.6656240643324582,0.3343759356675417,,,,,98.0,105.0,-110,-110
60,2007-11-07,2008,0,,TOR,ORL,0.6676565550651318,0.3323434449348682,,,,,96.0,105.0,-200,170
61,2007-11-07,2008,0,,BOS,DEN,0.4524921791110375,0.5475078208889624,,,,,119.0,93.0,-295,245
62,2007-11-08,2008,0,,CHI,DET,0.5187252145998082,0.4812747854001917,,,,,97.0,93.0,-120,100
63,2007-11-08,2008,0,,NJN,WAS,0.7631660150994914,0.2368339849005085,,,,,87.0,85.0,-275,235
64,2007-11-08,2008,0,,GSW,DAL,0.4915461449811335,0.5084538550188664,,,,,115.0,120.0,275,-325
65,2007-11-09,2008,0,,BOS,ATL,0.6662562988286582,0.3337437011713418,,,,,106.0,83.0,-430,360
66,2007-11-09,2008,0,,NYK,ORL,0.5138532667151811,0.4861467332848189,,,,,102.0,112.0,-115,-105
67,2007-11-09,2008,0,,WAS,DEN,0.4683401349267176,0.5316598650732823,,,,,92.0,118.0,110,-130
68,2007-11-09,2008,0,,CHO,IND,0.6485270822086525,0.3514729177913475,,,,,96.0,87.0,-125,105
69,2007-11-09,2008,0,,HOU,MIL,0.8372597547567278,0.1627402452432722,,,,,104.0,88.0,-475,395
70,2007-11-09,2008,0,,LAL,MIN,0.7928135632564575,0.2071864367435425,,,,,107.0,93.0,-800,600
71,2007-11-09,2008,0,,PHI,TOR,0.6114460141978535,0.3885539858021465,,,,,103.0,105.0,110,-130
